Region,Province,Product,Species,System,Functional_unit,Normalized_product_output_kg,ch4_enteric_kg_per_kg_product,ch4_manure_kg_per_kg_product,n2o_direct_kg_per_kg_product,total_direct_gas_kg_per_kg_product,water_l_per_kg_product,electricity_kwh_per_kg_product,area_ha_per_kg_product,total_feed_kg_per_kg_product,supplement_feed_kg_per_kg_product,pasture_feed_kg_per_kg_product,unmatched_pasture_feed_kg_per_kg_product,nh3_total_kg_per_kg_product,nh3_housing_kg_per_kg_product,nh3_grazing_kg_per_kg_product,nox_as_no2_kg_per_kg_product,animals_total_live_weight_kg_per_kg_product
Costa,GUAYAS,milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0561530187639834,0.0051048198876348,0.000306289193258,0.0615641278448764,11.485844747178447,0.1531445966290459,0.0001530003671661,2.552409943817432,1.020963977526973,1.5314459662904596,0.2297168949435689,0.0006738362251677,0.0004716853576174,0.0002021508675502,0.0001225156773032,0.3496451977832099
Costa,GUAYAS,other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0276387281513503,0.0069096820378375,0.0003454841018918,0.0348938942910797,16.583236890810202,0.0138193640756751,0.0017934623343611,2.763872815135034,1.381936407567517,1.381936407567517,0.2072904611351275,0.000760065024162,0.0005320455169134,0.0002280195072486,0.0001381936407566,1.0
Costa,GUAYAS,swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.0550411356331133,0.0825617034496701,0.0016512340689933,0.1392540731517769,38.528794943179385,0.1651234068993402,0.000355454709357,12.109049839284951,8.476334887499464,0.0,0.0,0.0036327149517854,0.0025429004662498,0.0010898144855356,0.0006604936275973,1.0
Costa,LOS RÍOS,cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.213317961841959,0.0193925419856326,0.0011635525191379,0.2338740563467296,43.633219467673456,0.5817762595689794,0.0006484390584007,9.696270992816322,3.878508397126529,5.817762595689794,0.872664389353469,0.0025598155421034,0.0017918708794724,0.000767944662631,0.0004654210076551,1.0
Costa,LOS RÍOS,eggs,poultry,v2_integrated,1 kg shell eggs,1.0,0.0,0.0047031987630586,0.0007054798144587,0.0054086785775175,6.466898299205748,0.1175799690764681,0.0,1.5990875794399666,1.5990875794399666,0.0,0.0,0.0015520555918092,0.0010864389142665,0.0004656166775428,0.0002821919257835,0.1224120226001585
Costa,LOS RÍOS,meat_poultry,poultry,v2_integrated,1 kg meat product,1.0,0.0,0.0116108424720092,0.0017416263708013,0.0133524688428105,15.964908399012767,0.290271061800232,0.0,3.9476864404831566,3.9476864404831566,0.0,0.0,0.003831578015763,0.002682104611034,0.0011494734047289,0.0006966505483204,1.0
Costa,LOS RÍOS,milk,cattle,v2_integrated,1 kg FPCM,1.0,0.0410176963411091,0.0037288814855553,0.0002237328891332,0.0449703107157978,8.389983342499603,0.1118664445666613,9.481508445956432e-05,1.8644407427776897,0.7457762971110758,1.1186644456666135,0.167799666849992,0.0004922123560932,0.0003445486492652,0.0001476637068279,8.949315565331384e-05,0.2554028414763958
Costa,LOS RÍOS,other_livestock_live,other,v2_integrated,1 kg product,1.0,0.0307666981899879,0.0076916745474969,0.0003845837273747,0.0388429564648598,18.460018913992812,0.0153833490949939,0.0025274077754856,3.0766698189988024,1.5383349094994012,1.5383349094994012,0.2307502364249101,0.0008460842002246,0.0005922589401572,0.0002538252600673,0.0001538334909498,1.0
Costa,LOS RÍOS,swine_live,swine,v2_integrated,1 kg live weight equivalent,1.0,0.0572139202110619,0.0858208803165929,0.0017164176063318,0.1447512181339867,40.04974414774338,0.1716417606331859,0.0009357435375237,12.587062446433634,8.810943712503542,0.0,0.0,0.00377611873393,0.002643283113751,0.001132835620179,0.0006865670425327,1.0
Costa,MANABÍ,cattle_meat,cattle,v2_integrated,1 kg product,1.0,0.2146548129739947,0.0195140739067267,0.0011708444344035,0.2353397313151252,43.906666290135306,0.5854222172018041,0.0004542868594025,9.757036953363402,3.9028147813453606,5.854222172018041,0.8781333258027061,0.0025758577556878,0.0018031004289815,0.0007727573267063,0.0004683377737613,1.0
