Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
FREJOL TIERNO (GRANO TIERNO),transitory,0.594,0.606,0.0,1e-12,187.10685262500002,190.88678904166667,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,3.96,4.04,,,,,,,,,1.98,2.02,0.594,0.606,2249.999999999994,2295.454545454539,6886.956521739131,7026.086956521739,,,,,,,,,,,2450.943,2500.4570000000003,288.99677136,294.8350899733333,,,,,,,49.5,50.5,187.10685262500002,190.88678904166667,0.6105,0.6228333333333333,,,0.6105,0.6228333333333333,0.858,0.8753333333333334,,,374.21370525000003,381.77357808333335,,,,,0.0,1e-12,6886.956521739131,7026.086956521739,0.0,1e-12,,,,,,,,,,
HABA TIERNA (GRANO TIERNO),transitory,0.3168,0.3232,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,1.98,2.02,,,,,,,,,2.97,3.03,0.5643,0.5757000000000001,7929.642857142856,8089.837662337662,5165.217391304349,5269.565217391305,,,,,,,,,,,1838.2072500000002,1875.34275,79.2,80.8,,,,,,,39.6,40.4,0.0,1e-12,1.188,1.212,1.188,1.212,0.99,1.01,1.683,1.7169999999999999,,,,,,,,,0.0,1e-12,2582.6086956521744,2634.7826086956525,0.0,1e-12,,,,,,,,,,
HUERTO FRUTAL,transitory,,,0.0,1e-12,269.43386778,274.87697621999996,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,1.98,2.02,,,,,,,,,6.93,7.07,0.495,0.505,1259.9999999999993,1285.4545454545448,,,,,,,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,134.71693389,137.43848810999998,,,,,,,0.0,1e-12,12.599999999999994,12.854545454545448,269.43386778,274.87697621999996,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
HUERTO HORTICOLA,transitory,0.029699999999999997,0.0303,0.0,1e-12,1871.06852625,1908.8678904166668,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,293.04,298.96,,,,,,,,,1.98,2.02,0.0198,0.0202,1350.0000000000002,1377.2727272727277,0.0,1e-12,,,,,,,,,,,0.0,1e-12,363.0,370.33333333333337,,,,,,,0.0,1e-12,0.0,1e-12,1.98,2.02,11.549999999999999,11.783333333333333,,,0.0,1e-12,60.00000000000006,61.212121212121275,2245.2822315000003,2290.6414685,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
LECHUGA,transitory,0.1584,0.1616,0.0,1e-12,4490.564463000001,4581.282937,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,158.4,161.6,,,,,,,,,8.91,9.09,0.1485,0.1515,6168.381037567079,6292.994795901767,10330.434782608698,10539.13043478261,,,,,,,,,,,2450.943,2500.4570000000003,160.37730224999999,163.61724774999996,224.52822314999997,229.06414685,,,,,89.81128926,91.62565874,4490.564463000001,4581.282937,3.666666666666666,3.7407407407407405,2.25,2.295454545454546,3.454280356153846,3.524063797692308,6.387096774193549,6.516129032258065,,,4490.564463000001,4581.282937,4490.564463000001,4581.282937,,,0.0,1e-12,10330.434782608698,10539.13043478261,0.0,1e-12,,,,,,,,,,
LENTEJA,transitory,,,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,1.98,2.02,,,,,,,,,8.91,9.09,0.5247,0.5353,161.25000000000014,164.5075757575759,,,,,,,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,0.0,1e-12,,,,,,,0.0,1e-12,1.3499999999999963,1.3772727272727237,,,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
MAIZ DURO SECO (MAZORCA),transitory,0.4158,0.42419999999999997,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,3.96,4.04,,,,,,,,,6.93,7.07,0.11879999999999999,0.1212,1028.5714285714294,1049.3506493506502,,,,,,,,,,,,,0.0,1e-12,,,,,,,,,0.0,1e-12,0.0,1e-12,0.99,1.01,,,,,0.0,1e-12,8.57142857142858,8.744588744588754,342.13824480000005,349.05012853333335,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
MAIZ SUAVE SECO (MAZORCA),transitory,0.47025000000000006,0.47975,0.0,1e-12,0.0,1e-12,,,,,,,,,,,,,0.0,1e-12,0.0,1e-12,1.485,1.515,,,11.88,12.12,,,,,,,,,10.89,11.11,0.495,0.505,650.8928571428562,664.0422077922069,11191.304347826088,11417.391304347828,,,,,,,,,,,0.0,1e-12,56.13205578749999,57.2660367125,125.735804964,128.27592223599999,,,,,8.981128926,9.162565874000002,0.0,1e-12,1.5535384615384615,1.5849230769230769,,,,,0.1546875,0.1578125,20.911764705882337,21.334224598930465,718.49031408,733.00526992,,,,,0.0,1e-12,0.0,1e-12,0.0,1e-12,,,,,,,,,,
MANDARINA,transitory,0.12,0.12,0.0,0.0,1511.9745666666668,1511.9745666666668,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,4.0,4.0,0.12,0.12,7575.757575757574,7575.757575757574,18260.869565217392,18260.869565217392,,,,,,,,,,,2475.7000000000003,2475.7000000000003,75.59872833333334,75.59872833333334,37.79936416666667,37.79936416666667,,,,,113.3980925,113.3980925,1511.9745666666668,1511.9745666666668,8.333333333333334,8.333333333333334,,,,,8.333333333333334,8.333333333333334,,,1511.9745666666668,1511.9745666666668,,,,,0.0,0.0,18260.869565217392,18260.869565217392,0.0,0.0,,,,,,,,,,
MARACUYA,transitory,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,,,9.0,9.0,2.0,2.0,1363.636363636365,1363.636363636365,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
