count,Region,Province,Crop,Category,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note
38,(all regions confounded),(all provinces confounded),PITAHAYA AMARILLA,permanent,2.0,10454.545454545449,11250.0,sin riego,UNIDAD,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,211.67643933333332,145.1495584,211.67643933333332,57.142857142857146,171.45791586,512.29141625,3.401942775,7.298853600000001,5.7827787097959185,7.366111854333333,3118.44754375,226.796185,2.5,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
46,(all regions confounded),(all provinces confounded),PITAHAYA ROJA,permanent,3.995,9295.454545454551,11250.0,goteo,UNIDAD,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,180.71847400000001,80.0,18.0,125.0,162.5,0.0,0.9347826086956522,3.4814814814814814,10.85,0.8347826086956522,2250.62656641604,160.0,62.4,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
25,(all regions confounded),(all provinces confounded),PLANTAS MEDICINALES,permanent,0.15,12124.675324675323,0.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,204.11656649999998,,,,204.11656649999998,0.0,12.0,0.935064935064935,10.155844155844155,0.0,907.1847399999999,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),SABILA,permanent,2.65,7511.363636363633,,aspersi?n,CAJA,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1237.8500000000001,,,,,0.0,529.1910983333333,,,,0.0,1058.3821966666667,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),SACHA INCHI,permanent,7.0,1649.142857142857,,sin riego,QUINTAL,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
4,(all regions confounded),(all provinces confounded),TAXO,permanent,0.515,5051.51515151515,0.0,sin riego,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,0.0,0.0,,,15.0,0.0,9071.8474,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
4,(all regions confounded),(all provinces confounded),TUNA,permanent,0.185,2454.545454545456,,sin riego,CAJA,FRUTA FRESCA,,,0.0,,,,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,(all regions confounded),(all provinces confounded),TÉ,permanent,278.0,10791.366906474821,,sin riego,UNIDAD,,,,0.0,575.5395683453237,,,,575.5395683453237,0.0,,4.0,,4.0,,,,0.0,0.0,0.0,lake,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
10,(all regions confounded),(all provinces confounded),UVA (VID),permanent,0.625,7999.999999999999,11250.0,goteo,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,600.0,160.0,80.0,120.0,600.0,680.388555,11.0,8.0,20.0,28.0,2086.524902,,,0.0,11250.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
6,(all regions confounded),(all provinces confounded),UVILLA,permanent,0.6849999999999999,5608.391608391618,0.0,surcos,LIBRA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,10.0,,,,5.0,0.0,,,,0.0,387.68578632478636,581.5286794871795,,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
68,(all regions confounded),(all provinces confounded),VIVEROS DE PERMANENTES,permanent,0.04,4545.45454545455,0.0,surcos,CAJA,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,566.9904625,,,,0.0,0.0,,,,0.0,7559.872833333334,,3333.3333333333335,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
