Crop,Category,Cycle_length_months__minValue,Cycle_length_months__maxValue,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Region__minValue,Region__maxValue,Province__minValue,Province__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue,Irrig_lake_m3__minValue,Irrig_lake_m3__maxValue,Irrig_river_m3__minValue,Irrig_river_m3__maxValue,Irrig_well_m3__minValue,Irrig_well_m3__maxValue,Irrigation_source__minValue,Irrigation_source__maxValue,Source_module__minValue,Source_module__maxValue,Output_basis__minValue,Output_basis__maxValue,Yield_data_status__minValue,Yield_data_status__maxValue,Yield_basis_note__minValue,Yield_basis_note__maxValue
CEIBO,permanent,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CHIRIMOYA,permanent,,,0.875,0.875,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,4.0,4.0,,,,,0.875,0.875,4259.8793578417435,4259.8793578417435,15652.17391304348,15652.17391304348,,,,,,,,,,,1237.8500000000001,1237.8500000000001,66.66856060606061,66.66856060606061,21.33783960292581,21.33783960292581,,,,,88.00640020898642,88.00640020898642,0.0,0.0,12.0,12.0,,,19.199973876698014,19.199973876698014,15.597701149425287,15.597701149425287,,,,,,,0.0,0.0,7826.08695652174,7826.08695652174,0.0,0.0,,,,,,,,,,
CIRUELO,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,14.0,14.0,,,,,1.16,1.16,5454.5454545454495,5454.5454545454495,,,,,,,,,,,,,0.0,0.0,,,150.0,150.0,,,,,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.5,0.3333333333333333,0.3333333333333333,0.125,0.125,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
CLAUDIA,permanent,,,0.185,0.185,0.0,0.0,535.4909923611111,535.4909923611111,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,78.0,78.0,,,,,0.155,0.155,3218.1818181818167,3218.1818181818167,15652.17391304348,15652.17391304348,,,,,,,,,,,2475.7000000000003,2475.7000000000003,226.79618499999998,226.79618499999998,82.399455,82.399455,16.666666666666668,16.666666666666668,90.0,90.0,0.0,0.0,415.7930058333333,415.7930058333333,6.0,6.0,7.692307692307692,7.692307692307692,5.833333333333334,5.833333333333334,0.0,0.0,907.1847399999999,907.1847399999999,58876.289626,58876.289626,15.0,15.0,0.0,0.0,5625.0,5625.0,0.0,0.0,,,,,,,,,,
COCO (COCOTERO),permanent,,,1.99,1.99,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,69.0,69.0,,,,,1.9649999999999999,1.9649999999999999,3721.2934716290415,3721.2934716290415,15652.17391304348,15652.17391304348,,,,,,,,,,,2475.7000000000003,2475.7000000000003,120.48192771084337,120.48192771084337,66.77933521947615,66.77933521947615,141.7233560090703,141.7233560090703,130.0,130.0,90.54054054054055,90.54054054054055,0.0,0.0,1.417233560090703,1.417233560090703,1.5,1.5,1.75,1.75,1.0,1.0,0.06719886962962963,0.06719886962962963,4800.219885,4800.219885,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
DURAZNO (MELOCOTON),permanent,,,0.325,0.325,0.0,0.0,1837.0490985000001,1837.0490985000001,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,22.0,22.0,,,,,0.25,0.25,7272.727272727279,7272.727272727279,13451.08695652174,13451.08695652174,,,,,,,,,,,2475.7000000000003,2475.7000000000003,600.0,600.0,181.436948,181.436948,,,,,132.8377655,132.8377655,1270.058636,1270.058636,6.0,6.0,8.0,8.0,6.0,6.0,3.3125,3.3125,1837.0490985000001,1837.0490985000001,58876.289626,58876.289626,,,0.0,0.0,11250.0,11250.0,0.0,0.0,,,,,,,,,,
ESPARRAGO,permanent,,,3.79,3.79,0.0,0.0,600.0,600.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,4.0,4.0,,,,,2.7,2.7,4000.0,4000.0,11250.0,11250.0,,,,,,,,,,,2475.7000000000003,2475.7000000000003,500.0,500.0,487.037037037037,487.037037037037,,,300.0,300.0,1100.0,1100.0,300.0,300.0,3.333333333333333,3.333333333333333,1.1111111111111112,1.1111111111111112,2.222222222222222,2.222222222222222,5.505050505050505,5.505050505050505,600.0,600.0,,,,,0.0,0.0,11250.0,11250.0,0.0,0.0,,,,,,,,,,
FRUTILLAS O FRESAS,permanent,,,0.24,0.24,0.0,0.0,755.9872833333334,755.9872833333334,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,59.0,59.0,,,,,0.2,0.2,14727.272727272719,14727.272727272719,11250.0,11250.0,,,,,,,,,,,2475.7000000000003,2475.7000000000003,170.0,170.0,175.71847400000001,175.71847400000001,59.375,59.375,32.0,32.0,109.48781344827589,109.48781344827589,0.0,0.0,3.3333333333333335,3.3333333333333335,5.555555555555555,5.555555555555555,7.692307692307692,7.692307692307692,1.44,1.44,1360.7771099999998,1360.7771099999998,2721.55422,2721.55422,555.7894736842105,555.7894736842105,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
GRANADILLA,permanent,,,0.5,0.5,0.0,0.0,226.796185,226.796185,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,66.0,66.0,,,,,0.45,0.45,5102.272727272733,5102.272727272733,11250.0,11250.0,,,,,,,,,,,0.0,0.0,300.0,300.0,137.14285714285714,137.14285714285714,,,137.14285714285714,137.14285714285714,274.2857142857143,274.2857142857143,30.239491333333337,30.239491333333337,6.125,6.125,2.8888888888888893,2.8888888888888893,9.666666666666666,9.666666666666666,4.345637583892618,4.345637583892618,453.59237,453.59237,718.1879191666667,718.1879191666667,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
GUABA,permanent,,,0.1,0.1,0.0,0.0,120.0,120.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,7.0,7.0,,,,,0.1,0.1,818.1818181818179,818.1818181818179,15652.17391304348,15652.17391304348,,,,,,,,,,,0.0,0.0,60.0,60.0,,,,,,,60.0,60.0,0.0,0.0,2.5,2.5,,,,,0.0,0.0,,,120.0,120.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
GUANABANA,permanent,,,0.5,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,12.0,12.0,,,,,2.0,2.0,4090.9090909090996,4090.9090909090996,11250.0,11250.0,,,,,,,,,,,0.0,0.0,162.5,162.5,,,,,,,112.0,112.0,0.0,0.0,1.0,1.0,7.0,7.0,1.0,1.0,0.0,0.0,5000.0,5000.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
GUAYABA,permanent,,,40.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,9.0,9.0,,,,,0.425,0.425,12370.129870129873,12370.129870129873,,,,,,,,,,,,,0.0,0.0,150.0,150.0,,,,,,,0.0,0.0,0.0,0.0,4.285714285714286,4.285714285714286,2.0,2.0,25.0,25.0,3.0,3.0,6479.8910000000005,6479.8910000000005,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
HUERTO FRUTAL,permanent,,,0.15,0.15,0.0,0.0,593.1592530769232,593.1592530769232,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,875.0,875.0,,,,,0.2,0.2,7272.727272727269,7272.727272727269,0.0,0.0,,,,,,,,,,,0.0,0.0,226.79618499999998,226.79618499999998,356.394005,356.394005,,,56.89769853846154,56.89769853846154,90.718474,90.718474,0.0,0.0,4.78021978021978,4.78021978021978,1.923076923076923,1.923076923076923,2.5,2.5,0.0,0.0,1814.3694799999998,1814.3694799999998,12267.96185,12267.96185,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
LIMA,permanent,,,0.375,0.375,0.0,0.0,42456.245832,42456.245832,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,5.0,5.0,,,,,0.5,0.5,8000.0,8000.0,,,,,,,,,,,,,2475.7000000000003,2475.7000000000003,,,,,,,,,0.0,0.0,42456.245832,42456.245832,6.0,6.0,,,,,6.0,6.0,55.55555555555556,55.55555555555556,58876.289626,58876.289626,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
MANDARINA,permanent,,,0.21,0.21,0.0,0.0,755.9872833333334,755.9872833333334,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,128.0,128.0,,,,,0.24,0.24,12424.242424242413,12424.242424242413,18260.869565217392,18260.869565217392,,,,,,,,,,,2475.7000000000003,2475.7000000000003,377.38885184000003,377.38885184000003,165.37221822916666,165.37221822916666,,,370.1923076923077,370.1923076923077,107.6923076923077,107.6923076923077,0.0,0.0,8.333333333333334,8.333333333333334,6.777777777777778,6.777777777777778,4.166666666666667,4.166666666666667,1.02,1.02,1511.9745666666668,1511.9745666666668,3239.9455000000003,3239.9455000000003,34.285714285714285,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
MANZANA,permanent,,,0.25,0.25,0.0,0.0,367.7775972972973,367.7775972972973,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,58.0,58.0,,,,,0.25,0.25,3340.90909090909,3340.90909090909,15652.17391304348,15652.17391304348,,,,,,,,,,,2475.7000000000003,2475.7000000000003,600.0,600.0,118.75,118.75,55.6875,55.6875,90.718474,90.718474,0.0,0.0,292.9450722916667,292.9450722916667,6.0,6.0,8.0,8.0,15.384615384615383,15.384615384615383,2.25,2.25,503.9915222222222,503.9915222222222,58876.289626,58876.289626,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
MORA,permanent,,,0.15,0.15,0.0,0.0,453.5923700000001,453.5923700000001,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,243.0,243.0,,,,,0.16,0.16,5461.38072453862,5461.38072453862,15652.17391304348,15652.17391304348,,,,,,,,,,,2475.7000000000003,2475.7000000000003,272.155422,272.155422,118.75,118.75,13.333333333333334,13.333333333333334,100.0,100.0,216.91973969631238,216.91973969631238,170.71847400000001,170.71847400000001,4.166666666666667,4.166666666666667,2.5,2.5,4.583333333333334,4.583333333333334,2.5,2.5,1852.1688441666668,1852.1688441666668,5769.904625,5769.904625,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
NARANJILLA,permanent,,,0.5,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,74.0,74.0,,,,,0.5,0.5,5227.272727272727,5227.272727272727,11250.0,11250.0,,,,,,,,,,,0.0,0.0,403.19321777777776,403.19321777777776,158.33333333333334,158.33333333333334,,,,,137.5,137.5,0.0,0.0,6.333333333333334,6.333333333333334,2.5,2.5,3.25,3.25,0.0,0.0,1179.340162,1179.340162,120.0,120.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
OTROS PERMANENTES,permanent,,,0.01,110.0,0.0,0.0,0.0,75296.33342,,,,,,,,,,,,,0.0,0.0,0.0,453.59236999999996,,,,,,,,,,,1899.0,1899.0,,,,,0.0,599.0,11.086474501108647,109090.90909090919,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,1.0,10000.0,0.0,1209.5796533333335,5.0,416.6666666666667,10.0,625.0,0.0,10000.0,0.0,75296.33342,0.125,66.66666666666667,0.125,400.0,0.226796185,100.0,0.0,493.59236999999996,0.0,45359.237,0.0,75296.33342,0.0,3333.3333333333335,0.0,15652.17391304348,0.0,15652.17391304348,0.0,15652.17391304348,,,,,,,,,,
PAJA TOQUILLA,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,6.0,,,,,2.0,2.0,2290.90909090909,2290.90909090909,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
PAPAYA,permanent,,,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,46.0,46.0,,,,,1.0,1.0,10909.090909090904,10909.090909090904,0.0,0.0,,,,,,,,,,,0.0,0.0,200.0,200.0,82.5,82.5,45.359237,45.359237,440.0,440.0,200.0,200.0,0.0,0.0,0.9,0.9,1.6666666666666665,1.6666666666666665,0.5,0.5,0.0,0.0,,,20000.0,20000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
PEPINO DULCE,permanent,,,0.1,0.1,0.0,0.0,453.59236999999996,453.59236999999996,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,6.0,,,,,0.1,0.1,9090.909090909088,9090.909090909088,15652.17391304348,15652.17391304348,,,,,,,,,,,1237.8500000000001,1237.8500000000001,453.59236999999996,453.59236999999996,,,,,,,453.59236999999996,453.59236999999996,0.0,0.0,6.0,6.0,2.0,2.0,8.0,8.0,0.0,0.0,2494.7580350000003,2494.7580350000003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
PERA,permanent,,,0.125,0.125,0.0,0.0,453.59236999999996,453.59236999999996,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,24.0,24.0,,,,,0.12,0.12,3409.09090909091,3409.09090909091,15652.17391304348,15652.17391304348,,,,,,,,,,,2475.7000000000003,2475.7000000000003,239.39597305555554,239.39597305555554,,,,,,,0.0,0.0,337.9072961111111,337.9072961111111,2.5,2.5,0.9375,0.9375,1.5865384615384615,1.5865384615384615,0.0,0.0,1628.2803025641026,1628.2803025641026,45.35923700000001,45.35923700000001,,,0.0,0.0,15652.17391304348,15652.17391304348,0.0,0.0,,,,,,,,,,
PIMIENTA NEGRA (GRANO FRESCO),permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,3.0,3.0,,,,,0.375,0.375,210.0,210.0,,,,,,,,,,,,,0.0,0.0,,,400.0,400.0,,,,,200.0,200.0,0.0,0.0,4.0,4.0,4.0,4.0,,,4.0,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
PIMIENTA NEGRA (GRANO SECO),permanent,,,0.25,0.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,9.0,9.0,,,,,0.5,0.5,1590.9090909090899,1590.9090909090899,,,,,,,,,,,,,0.0,0.0,100.0,100.0,,,,,,,50.0,50.0,0.0,0.0,0.5033557046979866,0.5033557046979866,1.5,1.5,,,1.0,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
PITAHAYA AMARILLA,permanent,,,2.0,2.0,0.0,0.0,1224.6015842285715,1224.6015842285715,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,38.0,38.0,,,,,2.0,2.0,10454.545454545449,10454.545454545449,11250.0,11250.0,,,,,,,,,,,0.0,0.0,211.67643933333332,211.67643933333332,145.1495584,145.1495584,211.67643933333332,211.67643933333332,57.142857142857146,57.142857142857146,171.45791586,171.45791586,512.29141625,512.29141625,3.401942775,3.401942775,7.298853600000001,7.298853600000001,5.7827787097959185,5.7827787097959185,7.366111854333333,7.366111854333333,3118.44754375,3118.44754375,226.796185,226.796185,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
PITAHAYA ROJA,permanent,,,3.745,3.745,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,46.0,46.0,,,,,3.995,3.995,9295.454545454551,9295.454545454551,11250.0,11250.0,,,,,,,,,,,2475.7000000000003,2475.7000000000003,180.71847400000001,180.71847400000001,80.0,80.0,18.0,18.0,125.0,125.0,162.5,162.5,0.0,0.0,0.9347826086956522,0.9347826086956522,3.4814814814814814,3.4814814814814814,10.85,10.85,0.8347826086956522,0.8347826086956522,2250.62656641604,2250.62656641604,160.0,160.0,62.4,62.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
PLANTAS MEDICINALES,permanent,,,0.08,0.08,0.0,0.0,816.4662659999999,816.4662659999999,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,25.0,25.0,,,,,0.15,0.15,12124.675324675323,12124.675324675323,0.0,0.0,,,,,,,,,,,0.0,0.0,204.11656649999998,204.11656649999998,,,,,,,204.11656649999998,204.11656649999998,0.0,0.0,12.0,12.0,0.935064935064935,0.935064935064935,10.155844155844155,10.155844155844155,0.0,0.0,907.1847399999999,907.1847399999999,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
SABILA,permanent,,,5.0,5.0,0.0,0.0,529.1910983333333,529.1910983333333,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,2.0,2.0,,,,,2.65,2.65,7511.363636363633,7511.363636363633,,,,,,,,,,,,,1237.8500000000001,1237.8500000000001,,,,,,,,,0.0,0.0,529.1910983333333,529.1910983333333,,,,,,,0.0,0.0,1058.3821966666667,1058.3821966666667,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
SACHA INCHI,permanent,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,1.0,,,,,7.0,7.0,1649.142857142857,1649.142857142857,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
