cache_generated_at_utc,cache_domain,cache_summary_token,cache_crop_focus,cache_otros_subcrop,cache_combination_key,count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Straw_kgha,Export_straw_percent,Irrig_m3,Water_source,Irrig_equipment,Packaging_type1,Packaging_type1_kgha,Packaging_type2,Packaging_type2_kgha,Fuel_type,Fuel_unit,Fuel_ha,Urea_kgha,NPK_kgha,NPK_N_percent,NPK_P_percent,NPK_K_percent,MAP_kgha,UAN_kgha,AN_kgha,AP_kgha,AS_kgha,CAN_kgha,Total_fert_min_kgha,Manure_kgha,Manure_type,Compost_kg_ha,Digestate_kg_ha,Total_fert_org_kgha,N_tot,N_min,N_orga,P_tot,P_min,P_orga,K_tot,K_min,K_orga,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Acaricide_kgha,Biocide_NE_kgha,Total_pesticides_kgha,Seed_kgha,Equipement_phyto,Molecule_name_1,Dose_kgha_1,Phase_application_1,Molecule_name_2,Dose_kgha_2,Phase_application_2,Molecule_name_3,Dose_kgha_3,Phase_application_3,Molecule_name_4,Dose_kgha_4,Phase_application_4,Molecule_name_5,Dose_kgha_5,Phase_application_5,Molecule_name_6,Dose_kgha_6,Phase_application_6,Molecule_name_7,Dose_kgha_7,Phase_application_7,Molecule_name_8,Dose_kgha_8,Phase_application_8,Molecule_name_9,Dose_kgha_9,Phase_application_9,Transport_1,Transport_type_1,Transport_tkm_1,Transport_2,Transport_type_2,Transport_tkm_2,Transport_3,Transport_type_3,Transport_tkm_3,Transport_4,Transport_type_4,Transport_tkm_4,Transport_tkm,Transport_type,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note,Irrig_m3_class,Farm_size_class,Crop_group,Cropping_system
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,20.0,sierra,CARCHI,MAIZ DURO SECO (GRANO SECO),transitory,2023-11-01,2024-09-01,10.0,0.625,2689.39393939394,,,11304.347826086958,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,133.33333333333334,,,,,,351.0,,,,67.28571428571428,0.0,,,,0.0,,,,,,,,,,3.25,1.3333333333333333,8.0,0.0,0.0,0.5833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,cereals,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,8.0,sierra,CARCHI,MAIZ SUAVE CHOCLO (CHOCLO),transitory,2024-03-01,2024-09-01,6.0,0.3,4545.454545454533,,,5652.173913043479,,sin riego,COSTAL,,CHOCLO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,270.0,,,,,,181.436948,,,,181.436948,0.0,,,,0.0,,,,,,,,,,4.25,1.0,2.0,0.0,0.0,2.87106852625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,cereals,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,7.0,sierra,CARCHI,MAIZ SUAVE SECO (GRANO SECO),transitory,2024-01-01,2024-09-01,8.0,1.0,3939.39393939394,,,11304.347826086958,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,257.38514066666664,,,,,,200.0,,,,181.436948,0.0,,,,0.0,,,,,,,,,,8.333333333333334,0.5,2.5,0.0,0.0,1.0,78.7878787878788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,cereals,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,6.0,sierra,CARCHI,MANGO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.375,3193.18181818182,,,0.0,,surcos,SACO,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,226.0,,,,,,52.0,52.0,,,278.0,0.0,,,,0.0,,,,,,,,,,2.5,4.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 = 0,<= 1 ha,fruits,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,4.0,sierra,CARCHI,MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.295,4123.737373737378,,,0.0,,aspersi?n,ARROBA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,40.66666666666667,,,,,,,,,,40.66666666666667,0.0,,,,0.0,,,,,,,,,,15.555555555555555,13.555555555555555,15.555555555555555,0.0,0.0,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 = 0,<= 1 ha,fruits,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,8.0,sierra,CARCHI,NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.35,1818.1818181818176,,,6562.5,,surcos,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,129.59782,,,,,,164.79891,200.0,200.0,,259.19564,0.0,,,,0.0,,,,,,,,,,15.217391304347826,2.1739130434782608,5.434782608695652,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,fruits,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,91.0,sierra,CARCHI,OTROS PASTOS CULTIVADOS,cultivated_pasture,2024-01-01,2024-12-01,11.0,3.0,15000.0,,,10434.782608695654,,sin riego,,,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,143.0388555,,,,,,100.0,200.0,,,50.0,0.0,,,,0.0,,,,,,,,,,0.1666666666666666,0.6000000000000001,0.1666666666666666,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,regional_proxy_dm_yield,"Fallback cultivated-pasture dry-matter yield proxy for uncategorized tropical improved pasture, retained as a conservative 10-20 t DM/ha/year range.",Irrig_m3 <> 0,<= 10 ha,forages_pastures,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,94.0,sierra,CARCHI,OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,0.5,3967.5324675324728,,,0.0,,sin riego,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,300.0,,,,,,129.59782,,370.1923076923077,,180.0041882857143,0.0,,,,0.0,,,,,,,,,,5.5,5.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 = 0,<= 1 ha,fruits,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,57.0,sierra,CARCHI,OTROS TRANSITORIOS,transitory,2024-01-01,2024-06-01,5.0,0.74,13774.104683195555,,,10434.782608695654,,sin riego,QUINTAL,,BULBO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,,226.796185,,,,,,251.9957611111111,251.9957611111111,50.0,,200.0,0.0,,,,0.0,,,,,,,,,,2.309978805555556,1.6,2.4,0.0,0.0,0.25,227.272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,vegetables,(unknown)
2026-06-03T15:01:40.104298+00:00,crops,province,All,All,province__All__All,80.0,sierra,CARCHI,PAPA,transitory,2024-01-01,2024-12-01,11.0,1.0,22727.27272727277,,,10434.782608695654,,sin riego,QUINTAL,,TUBERCULO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,,907.18474,,,,,,23.453079,60.47898266666666,150.0,,907.18474,0.0,,,,0.0,,,,,,,,,,6.8571428571428585,1.8,5.0,0.0,0.0,11.0,7575.7575757576005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.,Irrig_m3 <> 0,<= 1 ha,roots_tubers,(unknown)
