count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note
46,(all regions confounded),(all provinces confounded),NABO,transitory,2024-01-01,2024-07-01,6.0,0.265,4318.18181818182,10434.782608695654,surcos,CARGA,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,2475.7000000000003,125.99788055555555,,,,114.85191419871794,4084.7699986559137,3.2258064516129035,2.272727272727273,3.2258064516129035,8.333333333333334,,4084.7699986559137,,,0.0,10434.782608695654,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
5,(all regions confounded),(all provinces confounded),OCA,transitory,2023-05-01,2024-02-01,9.0,0.1,1363.6363636363599,,sin riego,SACA,TUBERCULO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,0.0,1860.7771099999998,2.5,,,0.0,147.727272727273,4535.9237,1360.7771099999998,500.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1786,(all regions confounded),(all provinces confounded),OTROS TRANSITORIOS,transitory,2024-01-01,2024-12-01,11.0,0.18,4090.9090909090883,10434.782608695654,sin riego,QUINTAL,HOJA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,181.436948,151.19745666666668,63.75,100.11764705882354,45.359237,0.0,2.9705882352941178,2.272727272727273,3.5087719298245617,0.0,12.845849802371522,3401.942775,4535.9237,52.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
44,(all regions confounded),(all provinces confounded),"PAPA CHINA, PELMA",transitory,2024-01-01,2024-11-01,10.0,0.25,2121.2121212121197,,sin riego,QUINTAL,TUBERCULO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,179.0496197368421,,,0.0,0.0,1.6666666666666667,7.324561403508772,1.6666666666666667,0.0,26.515151515151516,3779.936416666667,,83.33333333333334,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),PAPAYA,transitory,2024-05-01,2024-07-01,2.0,1.5,2666.6666666666665,,aspersi?n,SACO,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,371.355,120.95796533333333,60.47898266666667,,151.19745666666668,332.6344046666666,0.0,2.0,2.6666666666666665,0.6666666666666666,5.333333333333333,,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,(all regions confounded),(all provinces confounded),PASTO AZUL,transitory,2024-04-01,2024-11-01,7.0,0.20500000000000002,17875.180375180367,,aspersi?n,SACO,TUBERCULO FRESCO,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1671.0975,323.99454999999995,,,,161.99727499999997,0.0,2.857142857142857,,14.285714285714285,8.571428571428571,58.44155844155843,,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
29,(all regions confounded),(all provinces confounded),PEPINILLO,transitory,2024-08-01,2024-12-01,4.0,0.01,4545.45454545455,7500.0,goteo,SACO,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,371.355,226.79618499999998,226.79618500000004,251.9957611111111,50.0,0.0,9071.8474,6.259978805555556,2.7777777777777777,12.142857142857142,0.0,,4535.9237,4535.9237,111.11111111111111,0.0,7500.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
70,(all regions confounded),(all provinces confounded),PEREJIL,transitory,2024-08-01,2024-12-01,4.0,0.01,1363.636363636364,10434.782608695654,aspersi?n,ATADO,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,371.355,151.19745666666668,129.59782,,,0.0,4367.926525925926,15.0,6.428571428571428,34.01942775,0.0,,4535.9237,4535.9237,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
80,(all regions confounded),(all provinces confounded),PIMIENTO,transitory,2024-01-01,2024-12-01,11.0,0.25,8634.421134421133,7500.0,goteo,SACO,FRUTA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,866.495,194.39673,129.59781999999998,94.49841041666667,45.359237,250.0,0.0,1.7857142857142856,1.78125,2.15718474,2.0,21.8181818181818,4319.927333333334,,111.11111111111111,0.0,7500.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
36,(all regions confounded),(all provinces confounded),PLANTAS MEDICINALES,transitory,2024-05-01,2024-07-01,2.0,0.01,1136.3636363636401,0.0,sin riego,ATADO,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,0.0,0.0,,,,0.0,,4535.9237,,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
19,(all regions confounded),(all provinces confounded),RABANO,transitory,2024-08-01,2024-12-01,4.0,0.01,1363.6363636363626,7500.0,goteo,ATADO,HOJA FRESCA,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,371.355,,,,,0.0,9071.8474,,,,0.0,,4535.9237,4535.9237,,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
