metric,domain,source_summary_file,source_inventory_level,source_key,n,sheet_name,figure_id
AJI,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,aji,13.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
AJONJOLI,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,ajonjoli,3.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
ALCACHOFA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,alcachofa,2.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
ALFALFA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,alfalfa,9.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
APIO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,apio,20.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
ARROZ,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arroz,2346.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
ARVEJA SECA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arveja seca,73.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
ARVEJA TIERNA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arveja tierna,304.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
AVENA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,avena,27.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
AVENA FORRAJERA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,avena forrajera,8.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
BABACO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,babaco,13.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
BAMBU O CANA GUADUA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,bambu o cana guadua,31.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
BANANO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,banano,707.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
BRACHIARIA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures,,individual tropical crops,individual_tropical_crops_grouped_lollipop
BROCOLI,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,brocoli,283.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CACAO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cacao,5628.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CACAO CCN51 O RAMILLA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cacao ccn51 o ramilla,1.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CAFE,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cafe,522.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CAMOTE,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,camote,12.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CANA DE AZUCAR / AZUCAR,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar / azucar,124.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CANA DE AZUCAR / OTROS USOS,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar / otros usos,407.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CANA DE AZUCAR /BIOCOMBUSTIBLE,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar /biocombustible,7.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CAUCHO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,caucho,8.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CEBADA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebada,276.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CEBADA FORRAJERA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebada forrajera,4.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CEBOLLA BLANCA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla blanca,527.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CEBOLLA COLORADA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla colorada,84.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CEBOLLA PERLA,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla perla,12.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
CENTENO,crops,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,centeno,5.0,individual tropical crops,individual_tropical_crops_grouped_lollipop
