metric_col,crop_display,crop_candidate,impact_value,Category,crop_norm,crop_group,n_crop,Yield_kgha,crop_base_norm,n_crop_base,crop_group_norm,n_crop_group,n_crop_dp_exact,n_crop_dp_base,n_crop_final,n,n_source,source_summary_file,source_inventory_level,source_key,Yield_kgha_plot,Yield_kgha_jitter
crop_cebolla_perla_category_transitory_summary_strategy_3,CEBOLLA PERLA,CEBOLLA PERLA,0.19241676,transitory,cebolla perla,vegetables,,,cebolla perla,,vegetables,2143,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla perla,5457.963089542034,5370.662930544934
crop_centeno_category_transitory_summary_strategy_3,CENTENO,CENTENO,0.39163345,transitory,centeno,cereals,,,centeno,,cereals,8601,5.0,5.0,5.0,5.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,centeno,5457.963089542034,5161.088293825823
crop_chirimoya_category_permanent_summary_strategy_3,CHIRIMOYA,CHIRIMOYA,0.57817774,permanent,chirimoya,fruits,4.0,4259.879357841744,chirimoya,4.0,fruits,5571,4.0,4.0,4.0,4.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,chirimoya,4259.879357841744,4555.788188826603
crop_chocho_category_transitory_summary_strategy_3,CHOCHO,CHOCHO,0.73301816,transitory,chocho,pulses_oilseeds,,,chocho,,pulses_oilseeds,2888,176.0,176.0,176.0,176.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,chocho,5457.963089542034,4933.814000036828
crop_cilantro_category_transitory_summary_strategy_3,CILANTRO,CILANTRO,0.80599154,transitory,cilantro,vegetables,,,cilantro,,vegetables,2143,147.0,147.0,147.0,147.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cilantro,5457.963089542034,5368.640587588656
crop_ciruelo_category_permanent_summary_strategy_3,CIRUELO,CIRUELO,0.18940804,permanent,ciruelo,fruits,14.0,5454.5454545454495,ciruelo,14.0,fruits,5571,13.0,13.0,14.0,14.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,ciruelo,5454.5454545454495,5494.213006559912
crop_claudia_category_permanent_summary_strategy_3,CLAUDIA,CLAUDIA,0.87439326,permanent,claudia,fruits,78.0,3218.1818181818167,claudia,78.0,fruits,5571,45.0,45.0,78.0,78.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,claudia,3218.1818181818167,3425.6849643016035
crop_coco_cocotero_category_permanent_summary_strategy_3,COCO,COCO,0.98520543,permanent,coco,fruits,,,coco,69.0,fruits,5571,63.0,63.0,69.0,69.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,coco,5457.963089542034,5883.080251674273
crop_col_category_transitory_summary_strategy_3,COL,COL,0.67447215,transitory,col,vegetables,,,col,,vegetables,2143,82.0,82.0,82.0,82.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,col,5457.963089542034,5697.668077061229
crop_coliflor_category_transitory_summary_strategy_3,COLIFLOR,COLIFLOR,0.57542023,transitory,coliflor,vegetables,,,coliflor,,vegetables,2143,21.0,21.0,21.0,21.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,coliflor,5457.963089542034,5387.614285359284
crop_durazno_melocoton_category_permanent_summary_strategy_3,DURAZNO,DURAZNO,0.58471658,permanent,durazno,fruits,,,durazno,22.0,fruits,5571,12.0,12.0,22.0,22.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,durazno,5457.963089542034,5633.671968561825
