dano_de_categoria_puntuacion_unica,unidad_pt,promedio_5_8269244,mediana_6_0990465,sd_4_199662,cv_72_073391,0_025_4_4993868,0_975_13_783837,sem_0_13280497,roots_tubers_summary_strategy_8,potato_cn_potato_production_cut_off_u,vegetables_summary_strategy_8,fruits_summary_strategy_8,peanut_ar_peanut_production_cut_off_u,pulses_oilseeds_summary_strategy_8,beans_dry_market_mix_at_regional_storage_rer_economic,product_milk_summary_strategy_9,product_meat_poultry_summary_strategy_9,landed_tuna_frozen_epo_ec_tuna_capture_by_purse_seiner_and_landing_whole_frozen_cut_off_u,shrimp_or_prawn_raw_processed_in_fr_chilled_ps_at_distribution_fr_u,product_eggs_summary_strategy_9,product_cattle_live_summary_strategy_9,product_swine_live_summary_strategy_9,refined_sunflower_oil_solvent_at_processing_ar_economic,pulses_oilseeds_summary_strategy_8_2,butter_from_cow_milk_glo_market_for_butter_from_cow_milk_cut_off_u,fruit_soft_drink_carbonated_less_than_10_of_fruit_juice_with_sugar_processed_in_fr_chilled_pet_at_distribution_fr_u,salt_glo_market_for_salt_cut_off_u,beer_regular_4_5_degrees_alcohol_at_plant_fr_u,caen_style_tripe_at_plant_fr_u,salty_snacks_crackers_plain_at_plant_fr_u
,,El total de todos los procesos,,Pt,3.4369564,0,0.077604535,0.20934953,0.022553418,7.3872829e-05,0.0066216409,0.017679702,0.0012330647,0.0079126567,0.0091257776,0.58432294,1.3017642,0.076496039,0.025857406,0.0024940121,0.075323076,0.86034018,0.1545908,0.013187761,0.065083518,0.066737454,3.6787166e-05,0.014952164,-0.1546771,-0.0017070114
,,Procesos remanentes,,Pt,0.73241782,0,0.025268417,0.027252635,0.045775245,7.3872829e-05,0.04184542,0.018929217,0.0012330647,0.009697922,0.0091257776,0.06905146,0.12938697,0.020078161,0.025857406,0.002542216,2.1326221e-05,0.12480824,0.070739528,0.016163203,0.0026865718,0.066972932,3.6787166e-05,0.015008862,0.011376882,-0.0015142982
,1,"Soybeans, at farm {BR} Economic, U",Agri-footprint - economic - unit,Pt,0.95474501,0,0,0,0,0,0,0,0,0,0,0.14268512,0.54649821,0,0,9.9201767e-08,0,0.26556158,0,0,0,0,0,0,0,0
,2,"Maize, at farm {BR} Economic, U",Agri-footprint - economic - unit,Pt,0.94195947,0,0,0,0,0,0,0,0,0,0,0.1025744,0.45526574,0,0,8.2641014e-08,0,0.38411924,0,0,0,0,0,0,0,0
,3,product: cattle_live | summary: strategy_9,Ecuador_needs,Pt,0.23829823,0,0,0,0,0,0,0,0,0,0,0.16299648,0,0,0,0,0.075301749,0,0,0,0,0,0,0,0,0
,4,"Wheat grain, at farm {CA} Economic, U",Agri-footprint - economic - unit,Pt,0.16469826,0,0,0.16469487,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3912481e-06,0,0,0,0,0,0,0,0
,5,"Transport, truck >20t, EURO4, 50%LF, default {GLO} Economic, U",Agri-footprint - economic - unit,Pt,0.094552376,0,0,0,0,0,0,0,0,0,0,0.011696839,0.04865952,0,0,8.8328019e-09,0,0.034196007,0,0,0,0,0,0,0,0
,6,"Sunflower seed, at farm/AR Economic",Agri-footprint 5 - economic allocation,Pt,0.083851269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083851269,0,0,0,0,0,0,0
,7,product: milk | summary: strategy_9,Ecuador_needs,Pt,0.074167285,0,0,0,0,0,0,0,0,0,0,0.074167285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,"Energy, from diesel burned in machinery {RER} Economic, U",Agri-footprint - economic - unit,Pt,0.067395736,0,0,0.011032994,0,0,0,0,0,0,0,0.0070078864,0.028675276,0,0,5.2052101e-09,0,0.020679574,0,0,0,0,0,0,0,0
