count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Straw_kgha,Export_straw_percent,Irrig_m3,Water_source,Irrig_equipment,Packaging_type1,Packaging_type1_kgha,Packaging_type2,Packaging_type2_kgha,Fuel_type,Fuel_unit,Fuel_ha,Urea_kgha,NPK_kgha,NPK_N_percent,NPK_P_percent,NPK_K_percent,MAP_kgha,UAN_kgha,AN_kgha,AP_kgha,AS_kgha,CAN_kgha,Total_fert_min_kgha,Manure_kgha,Manure_type,Compost_kg_ha,Digestate_kg_ha,Total_fert_org_kgha,N_tot,N_min,N_orga,P_tot,P_min,P_orga,K_tot,K_min,K_orga,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Acaricide_kgha,Biocide_NE_kgha,Total_pesticides_kgha,Seed_kgha,Equipement_phyto,Molecule_name_1,Dose_kgha_1,Phase_application_1,Molecule_name_2,Dose_kgha_2,Phase_application_2,Molecule_name_3,Dose_kgha_3,Phase_application_3,Molecule_name_4,Dose_kgha_4,Phase_application_4,Molecule_name_5,Dose_kgha_5,Phase_application_5,Molecule_name_6,Dose_kgha_6,Phase_application_6,Molecule_name_7,Dose_kgha_7,Phase_application_7,Molecule_name_8,Dose_kgha_8,Phase_application_8,Molecule_name_9,Dose_kgha_9,Phase_application_9,Transport_1,Transport_type_1,Transport_tkm_1,Transport_2,Transport_type_2,Transport_tkm_2,Transport_3,Transport_type_3,Transport_tkm_3,Transport_4,Transport_type_4,Transport_tkm_4,Transport_tkm,Transport_type,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha
14,sierra,CARCHI,HABA TIERNA (VAINA),transitory,2024-01-01,2024-08-01,7.0,1.5,6060.606060606067,,,0.0,,sin riego,SACO,,VAINA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,200.0,,,,,,56.699046249999995,90.718474,,,200.0,0.0,,,,0.0,,,,,,,,,,1.2,0.5,3.7769427749999998,0.0,0.0,1.375,20.6611570247934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7559.872833333334,,
38,sierra,CARCHI,LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.5,4090.90909090909,,,13125.0,,surcos,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,100.0,,,,,,4.0,,,,73.52941176470588,0.0,,,,0.0,,,,,,,,,,2.0,2.0,1.0499999999999998,0.0,0.0,1.172155422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.1458845000002,,
1,sierra,CARCHI,MAIZ DURO CHOCLO (CHOCLO),transitory,2023-10-01,2024-03-01,5.0,2.0,454.54545454545445,,,11304.347826086958,,surcos,QUINTAL,,CHOCLO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,226.796185,,,,,,,,,,226.796185,0.0,,,,0.0,,,,,,,,,,,0.5,,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,sierra,CARCHI,MAIZ DURO SECO (GRANO SECO),transitory,2023-11-01,2024-09-01,10.0,0.625,2689.39393939394,,,0.0,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,133.33333333333334,,,,,,351.0,,,,67.28571428571428,0.0,,,,0.0,,,,,,,,,,3.25,1.3333333333333333,8.0,0.0,0.0,0.5833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.7898266666667,,75.0
8,sierra,CARCHI,MAIZ SUAVE CHOCLO (CHOCLO),transitory,2024-03-01,2024-09-01,6.0,0.3,4545.454545454533,,,5000.0,,sin riego,COSTAL,,CHOCLO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,270.0,,,,,,181.436948,,,,181.436948,0.0,,,,0.0,,,,,,,,,,4.25,1.0,2.0,0.0,0.0,2.87106852625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sierra,CARCHI,MAIZ SUAVE SECO (GRANO SECO),transitory,2024-01-01,2024-09-01,8.0,1.0,3939.39393939394,,,10000.0,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,257.38514066666664,,,,,,200.0,,,,181.436948,0.0,,,,0.0,,,,,,,,,,8.333333333333334,0.5,2.5,0.0,0.0,1.0,78.7878787878788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sierra,CARCHI,MANGO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.375,3193.18181818182,,,0.0,,surcos,SACO,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,226.0,,,,,,52.0,52.0,,,278.0,2393.96185,,,,0.0,,,,,,,,,,2.5,4.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367.96185,,52.0
4,sierra,CARCHI,MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.295,4123.737373737378,,,6923.076923076923,,aspersi?n,ARROBA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,40.66666666666667,,,,,,,,,,40.66666666666667,0.0,,,,0.0,,,,,,,,,,15.555555555555555,13.555555555555555,15.555555555555555,0.0,0.0,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,sierra,CARCHI,NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.35,1818.1818181818178,,,6562.5,,surcos,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,129.59782,,,,,,164.79891,200.0,200.0,,259.19564,0.0,,,,0.0,,,,,,,,,,15.217391304347826,2.1739130434782608,5.434782608695652,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801.4096980000002,617.1428571428571
94,sierra,CARCHI,OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,0.5,3967.5324675324728,,,0.0,,sin riego,CAJA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,300.0,,,,,,129.59782,,370.1923076923077,,180.0041882857143,0.0,,,,0.0,,,,,,,,,,5.5,5.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738.147591666667,1679.9727500000001,34.285714285714285
