"xml_file","exchange_number","exchange_name","general_comment","unit","mean_value","min_value","max_value","max_to_abs_mean_ratio","flags"
"product_goat_live_strategy_9.xml","18","Dinitrogen monoxide","kgN2O_manure_mgmt_total_per_1kg_product","kg","0.0023103586956521","0.0023103586956521","0.0023103586956521","1",""
"product_donkey_live_strategy_9.xml","17","Nitrogen dioxide","kgNOx_manure_mgmt_as_NO2_per_1kg_product","kg","0.0013888888888888","0.0013888888888888","0.0013888888888888","1",""
"product_meat_poultry_strategy_9.xml","18","Dinitrogen monoxide","kgN2O_manure_mgmt_total_per_1kg_product","kg","0.001232","0.0012319999999999","0.001232","1",""
"product_goat_live_strategy_9.xml","17","Nitrogen dioxide","kgNOx_manure_mgmt_as_NO2_per_1kg_product","kg","0.0011342155009451","0.0011342155009451","0.0011342155009451","1",""
"product_horse_live_strategy_9.xml","17","Nitrogen dioxide","kgNOx_manure_mgmt_as_NO2_per_1kg_product","kg","0.000801282051282","0.000801282051282","0.000801282051282","1",""
"product_mule_live_strategy_9.xml","17","Nitrogen dioxide","kgNOx_manure_mgmt_as_NO2_per_1kg_product","kg","0.0007142857142857","0.0007142857142857","0.0007142857142857","1",""
"product_ovine_live_strategy_9.xml","18","Dinitrogen monoxide","kgN2O_manure_mgmt_total_per_1kg_product","kg","0.000655903729791","0.000655903729791","0.000655903729791","1",""
"product_horse_live_strategy_9.xml","18","Dinitrogen monoxide","kgN2O_manure_mgmt_total_per_1kg_product","kg","0.0005135940544871","0.0005135940544871","0.0005135940544871","1",""
"product_ovine_live_strategy_9.xml","17","Nitrogen dioxide","kgNOx_manure_mgmt_as_NO2_per_1kg_product","kg","0.0004316174143239","0.0004316174143239","0.0004316174143239","1",""
"product_donkey_live_strategy_9.xml","18","Dinitrogen monoxide","kgN2O_manure_mgmt_total_per_1kg_product","kg","0.0003060838174603","0.0003060838174603","0.0003060838174603","1",""
"product_mule_live_strategy_9.xml","18","Dinitrogen monoxide","kgN2O_manure_mgmt_total_per_1kg_product","kg","0.0001574145346938","0.0001574145346938","0.0001574145346938","1",""
"product_swine_live_strategy_9.xml","17","Nitrogen dioxide","kgNOx_manure_mgmt_as_NO2_per_1kg_product","kg","4.0280513495986E-05","4.0280513495986E-05","4.0280513495986E-05","1",""
"product_meat_poultry_strategy_9.xml","13","Transformation, to artificial areas, EC","Area_ha_per_1kg_product","m2","6E-06","6E-06","6E-06","1",""
"product_meat_poultry_strategy_9.xml","12","Occupation, artificial areas, EC","Area_ha_per_1kg_product","m2a","6E-06","6E-06","6E-06","1",""
"product_meat_poultry_strategy_9.xml","14","Transformation, from unspecified, EC","Area_ha_per_1kg_product","m2","6E-06","6E-06","6E-06","1",""
"product_cattle_live_strategy_9.xml","7","electricity, medium voltage {EC}| market for electricity, medium voltage | Cut-off, U","Electricity_kWh_per_1kg_product","kWh","0","0","0.0011111111111111",,"mean_zero_with_positive_max"
"product_donkey_live_strategy_9.xml","4","piglet, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_ovine_live_strategy_9.xml","2","calf, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_donkey_live_strategy_9.xml","5","kid goat, conventional, intensive forage area, at farm gate {FR} U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_ovine_live_strategy_9.xml","4","piglet, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_ovine_live_strategy_9.xml","3","one-day-chicken, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_donkey_live_strategy_9.xml","8","forages_pastures | summary: strategy_8","Pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_donkey_live_strategy_9.xml","9","beef cattle compound feed, at processing/IE Economic","Supplement_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_donkey_live_strategy_9.xml","10","broiler compound feed, at processing {BR} Economic, U","Total_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_donkey_live_strategy_9.xml","7","electricity, medium voltage {EC}| market for electricity, medium voltage | Cut-off, U","Electricity_kWh_per_1kg_product","kWh","0","0","0",,""
"product_donkey_live_strategy_9.xml","2","calf, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_swine_live_strategy_9.xml","9","beef cattle compound feed, at processing/IE Economic","Supplement_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_ovine_live_strategy_9.xml","7","electricity, medium voltage {EC}| market for electricity, medium voltage | Cut-off, U","Electricity_kWh_per_1kg_product","kWh","0","0","0",,""
"product_swine_live_strategy_9.xml","5","kid goat, conventional, intensive forage area, at farm gate {FR} U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_cattle_live_strategy_9.xml","10","broiler compound feed, at processing {BR} Economic, U","Total_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_cattle_live_strategy_9.xml","11","swine compound feed, at processing {BR} Economic, U","Total_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_cattle_live_strategy_9.xml","5","kid goat, conventional, intensive forage area, at farm gate {FR} U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_swine_live_strategy_9.xml","3","one-day-chicken, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_swine_live_strategy_9.xml","2","calf, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_swine_live_strategy_9.xml","10","broiler compound feed, at processing {BR} Economic, U","Total_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_ovine_live_strategy_9.xml","10","broiler compound feed, at processing {BR} Economic, U","Total_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_ovine_live_strategy_9.xml","9","beef cattle compound feed, at processing/IE Economic","Supplement_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_donkey_live_strategy_9.xml","3","one-day-chicken, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_ovine_live_strategy_9.xml","11","swine compound feed, at processing {BR} Economic, U","Total_feed_kg_per_1kg_product","kg","0","0","0",,""
"product_cattle_live_strategy_9.xml","4","piglet, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_cattle_live_strategy_9.xml","3","one-day-chicken, at farm {BR} Economic, U","Animals_total_live_weight_kg_per_1kg_product","kg","0","0","0",,""
"product_swine_live_strategy_9.xml","8","forages_pastures | summary: strategy_8","Pasture_feed_kg_per_1kg_product + Unmatched_pasture_feed_kg_per_1kg_product","kg","0","0","0",,""
